month_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,,1.5,7.7,8.066666666666666,14.566666666666668,6.583333333333333,6.033333333333334,1.633333333333333,2.566666666666667,8.799999999999999,2.0166666666666666,2.8833333333333333,3.1666666666666665,8.299999999999999,2.1166666666666667,6.65,2.1,8.25,2.2666666666666666,3.9,2.283333333333333,3.533333333333333,7.516666666666667,4.716666666666667,8.033333333333333,3.1166666666666667,5.2,3.1666666666666665,3.25,5.083333333333333,4.5,8.471428571428572,1.4,3.6571428571428575,2.3428571428571425,3.8125,7.0125,5.775,1.7,4.75,4.8625,2.6625,4.5625,6.487500000000001,3.6625
01-02,,1.5,7.85,8.083333333333334,14.566666666666668,6.583333333333333,6.216666666666666,1.7666666666666666,2.6,8.85,2.1333333333333333,2.8833333333333333,3.1833333333333336,8.333333333333334,2.183333333333333,6.633333333333333,2.0666666666666664,8.183333333333334,2.3000000000000003,3.9166666666666665,2.566666666666667,3.516666666666667,7.55,4.8,8.283333333333333,3.2,5.783333333333334,3.2,3.283333333333333,5.183333333333334,4.5285714285714285,8.485714285714286,1.3571428571428572,3.6714285714285713,2.3285714285714283,3.8625,7.05,5.95,1.6875,4.75,4.8875,2.6875,4.5875,6.487500000000001,3.6625
01-03,,1.5,8.016666666666667,8.133333333333333,14.583333333333334,6.566666666666666,6.233333333333333,1.9166666666666667,2.6833333333333336,8.85,2.183333333333333,2.8833333333333333,3.2,8.4,2.216666666666667,6.683333333333334,2.033333333333333,8.433333333333334,2.3166666666666664,3.9333333333333336,2.6833333333333336,3.516666666666667,7.816666666666666,4.8,8.35,3.216666666666667,6.033333333333334,3.4,3.3166666666666664,5.283333333333334,4.5285714285714285,8.471428571428572,1.3142857142857145,3.6571428571428575,2.3285714285714283,3.8875,7.05,6.4375,1.6875,4.775,4.9125,2.9375,4.6625,6.574999999999999,3.7875
01-04,,1.5,8.283333333333333,8.183333333333334,14.583333333333334,6.566666666666666,6.416666666666667,2.0,2.966666666666667,8.9,2.2666666666666666,2.8833333333333333,3.266666666666667,8.483333333333333,2.316666666666667,6.683333333333334,2.033333333333333,8.45,2.3666666666666667,3.95,3.0500000000000003,3.533333333333333,7.816666666666666,4.783333333333333,8.533333333333333,3.3166666666666664,6.0,3.5500000000000003,4.15,5.283333333333334,4.614285714285714,8.471428571428572,1.2857142857142858,3.6714285714285713,2.3285714285714283,3.925,7.05,7.1,1.7125,4.775,4.925,3.275,5.2125,6.612500000000001,3.8875
01-05,,1.5,8.5,8.183333333333334,14.583333333333334,6.566666666666666,6.616666666666667,2.083333333333333,3.0666666666666664,9.583333333333334,2.2666666666666666,2.8833333333333333,3.4,8.5,2.566666666666667,6.866666666666667,2.0166666666666666,8.433333333333334,2.4,3.95,3.066666666666667,3.516666666666667,7.95,4.766666666666667,8.55,3.4,6.050000000000001,3.6,4.166666666666667,6.0,4.642857142857143,8.471428571428572,1.2714285714285716,3.7142857142857135,2.3285714285714283,3.9375,7.15,7.112500000000001,1.8,4.85,5.075,3.2875,5.85,6.725,4.0125
01-06,,1.5,8.583333333333334,8.299999999999999,14.583333333333334,6.566666666666666,6.683333333333333,2.1333333333333333,3.1,9.766666666666667,2.483333333333333,2.9333333333333336,3.633333333333333,8.65,2.65,7.166666666666667,2.0500000000000003,8.450000000000001,2.433333333333333,3.95,3.083333333333333,3.516666666666667,8.233333333333333,4.783333333333333,8.683333333333334,3.516666666666667,6.033333333333334,3.633333333333333,4.316666666666666,6.483333333333333,4.757142857142857,8.471428571428572,1.2714285714285716,3.7142857142857135,2.3857142857142857,3.9625,7.225,7.125,2.0875,5.1,5.0875,3.3125,5.85,6.9125,4.4375
01-07,,1.5,8.6,8.483333333333333,14.583333333333334,6.65,6.683333333333333,2.1666666666666665,3.4166666666666665,9.983333333333333,2.733333333333333,3.0500000000000003,3.6666666666666665,9.016666666666667,2.6833333333333336,7.35,2.1166666666666667,8.466666666666667,2.4833333333333334,3.95,3.1166666666666667,3.5,8.233333333333333,4.8,8.916666666666666,4.033333333333333,6.066666666666666,3.6833333333333336,4.566666666666666,6.5,4.757142857142857,8.471428571428572,1.4,3.9,2.442857142857143,3.9625,7.2375,7.4,2.125,5.175,5.075,3.3125,5.9625,6.9125,4.6875
01-08,,1.5,8.6,8.733333333333333,14.583333333333334,6.75,6.666666666666667,2.2,3.5666666666666664,10.466666666666669,2.95,3.1,3.6666666666666665,9.316666666666666,2.9333333333333336,7.533333333333334,2.1,8.533333333333333,2.5,3.95,3.3000000000000003,3.5500000000000003,8.25,4.8,8.966666666666667,4.716666666666667,6.083333333333333,3.6833333333333336,5.45,6.55,4.785714285714286,8.471428571428572,1.3857142857142857,3.9,2.571428571428572,3.95,7.2375,8.174999999999999,2.2375,5.175,5.2375,3.5375,5.9625,6.95,4.75
01-09,,1.5,8.616666666666667,8.75,14.583333333333334,6.816666666666666,6.683333333333333,2.183333333333333,3.9166666666666665,11.016666666666666,2.95,3.1166666666666667,3.6666666666666665,9.383333333333336,3.1833333333333336,7.6,2.2833333333333337,8.533333333333333,2.566666666666667,3.95,3.5666666666666664,3.5666666666666664,8.283333333333333,4.916666666666667,8.966666666666667,4.85,6.116666666666667,3.6833333333333336,5.566666666666666,6.55,4.814285714285715,8.471428571428572,1.3857142857142857,3.957142857142857,2.8857142857142857,3.9625,7.225,8.4375,2.3375,5.1625,5.475,3.5375,5.925,7.3125,4.8125
01-10,,1.5,8.65,8.766666666666667,14.583333333333334,6.8500000000000005,6.683333333333333,2.2,4.133333333333334,11.45,2.95,3.1333333333333333,3.683333333333333,9.5,3.3000000000000003,7.733333333333334,2.3000000000000003,8.783333333333333,3.3666666666666667,3.966666666666667,4.283333333333333,3.8666666666666663,8.266666666666667,4.966666666666667,8.966666666666667,5.066666666666666,6.3,3.7,5.65,6.616666666666666,4.814285714285715,8.471428571428572,1.3857142857142857,4.2,2.914285714285714,3.9625,7.199999999999999,9.3375,2.425,5.175,5.5375,3.5375,5.9,7.575,5.05
01-11,,1.5,8.766666666666667,8.833333333333334,14.583333333333334,6.916666666666667,6.699999999999999,2.2333333333333334,4.266666666666667,11.5,2.95,3.316666666666667,3.766666666666667,9.516666666666667,3.3666666666666667,7.783333333333334,2.3000000000000003,9.083333333333334,4.2,4.1000000000000005,4.833333333333333,4.316666666666666,8.266666666666667,5.0,8.966666666666667,5.4,6.7,3.733333333333333,5.683333333333334,6.65,4.828571428571428,8.528571428571428,1.3857142857142857,4.542857142857143,2.9857142857142853,3.9875,7.199999999999999,9.8875,2.45,5.175,5.8125,3.575,5.8875,7.612500000000001,5.175
