date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-14,0.06,0.2714285714,0.1142857143,0.0571428571,0.1285714286,0.1571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142857143,0.0,0.0428571429,0.0,0.0,0.4857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857143,0.1,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0185714286,0.1278571429,0.0,0.0,0.0,0.4857142857,
10-15,0.06,0.2571428571,0.1142857143,0.0857142857,0.1142857143,0.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714285714,0.0,0.0,0.0428571429,0.0,0.0,0.4142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857143,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.1,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0175,0.1142857143,0.0,0.0,0.0,0.4142857143,
10-16,0.2,0.2142857143,0.1,0.0857142857,0.0142857143,0.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285714286,0.0,0.0,0.0571428571,0.0,0.0,0.3571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.075,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0132142857,0.1342857143,0.0,0.0,0.0,0.3571428571,
10-17,0.22,0.2142857143,0.1,0.1142857143,0.0714285714,0.1714285714,0.0,0.0,0.0,0.0,0.0285714286,0.0,0.0,0.0,0.2142857143,0.0,0.0,0.0285714286,0.0,0.0,0.3428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714286,0.0714285714,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.1125,0.0125,0.0375,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0285714286,0.16,0.0,0.0,0.0,0.3428571429,
10-18,0.22,0.2142857143,0.1,0.1142857143,0.4285714286,0.1714285714,0.0,0.0,0.0,0.0,0.0142857143,0.0,0.0,0.0,0.1571428571,0.0,0.0,0.0,0.0,0.0,0.3285714286,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0571428571,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132142857,0.21,0.0,0.0,0.0,0.4285714286,
10-19,0.26,0.2142857143,0.1,0.1285714286,0.5285714286,0.1714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571428571,0.0,0.0571428571,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0857142857,0.0,0.0,0.0714285714,0.0285714286,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189285714,0.2057142857,0.0,0.0,0.0,0.5285714286,
10-20,0.26,0.2,0.1,0.1285714286,0.6714285714,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571428571,0.0,0.1,0.0,0.0,0.0,0.2428571429,0.0,0.0,0.0,0.1857142857,0.0,0.0,0.0857142857,0.0,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.275,0.0125,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0492857143,0.2,0.0,0.0,0.0,0.6714285714,
10-21,0.28,0.1714285714,0.1,0.0571428571,0.7142857143,0.2142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571428571,0.0,0.1,0.0,0.0,0.0,0.2571428571,0.0,0.0,0.0,0.1285714286,0.0,0.0,0.2428571429,0.0,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.2125,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0742857143,0.2371428571,0.0,0.0,0.0,0.7142857143,
10-22,0.28,0.1,0.1,0.0428571429,0.7142857143,0.3857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571428571,0.0,0.1,0.0,0.0,0.0,0.3285714286,0.0,0.0,0.0,0.1,0.0,0.0,0.2142857143,0.0,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.1625,0.375,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0396428571,0.2668571429,0.0,0.0,0.0,0.7142857143,
10-23,0.28,0.0,0.0857142857,0.0428571429,0.7428571429,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571428571,0.0,0.1571428571,0.0,0.0,0.0,0.3285714286,0.0,0.0,0.0,0.1,0.0,0.0,0.1571428571,0.0,0.025,0.025,0.0,0.2375,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.05,0.4125,0.0,0.0,0.0,0.0457142857,0.2715,0.0,0.0,0.0,0.7428571429,
10-24,0.28,0.0,0.0857142857,0.0428571429,0.7428571429,0.5428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571428571,0.0,0.1857142857,0.0428571429,0.0,0.0,0.3142857143,0.0,0.0,0.0,0.3428571429,0.0,0.0,0.0714285714,0.0,0.025,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.4625,0.0,0.0,0.0,0.0428571429,0.3371428571,0.0,0.0,0.0,0.7428571429,
10-25,0.24,0.0,0.0857142857,0.0428571429,0.7285714286,0.4285714286,0.0,0.0,0.0,0.1714285714,0.0,0.0142857143,0.0,0.0,0.1571428571,0.0,0.5285714286,0.0571428571,0.0,0.0,0.3,0.0,0.0,0.0,0.3428571429,0.0,0.0,0.0285714286,0.0,0.125,0.2875,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5375,0.0,0.0,0.0,0.0685714286,0.4114285714,0.0,0.0,0.0,0.7285714286,
10-26,0.2,0.0,0.2142857143,0.0428571429,0.7571428571,0.3571428571,0.0,0.0,0.0,0.5285714286,0.0,0.4428571429,0.0,0.0,0.1571428571,0.0,0.6,0.0285714286,0.0285714286,0.0,0.2857142857,0.0,0.0,0.0,0.3571428571,0.0,0.0,0.0,0.0,0.025,0.1875,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.4,0.1125,0.0,0.0,0.1692857143,0.5114285714,0.0,0.0,0.0,0.7571428571,
10-27,0.2,0.0,0.3428571429,0.0428571429,0.9857142857,0.2714285714,0.0,0.0,0.0,0.6142857143,0.0,0.7714285714,0.0,0.0,0.1571428571,0.0,0.5428571429,0.0,0.0,0.0,0.4857142857,0.0,0.0,0.0,0.5285714286,0.0,0.0,0.0,0.0,0.1375,0.4125,0.0,0.575,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.3875,0.1125,0.0,0.0,0.1742857143,0.5585714286,0.0,0.0,0.0,0.9857142857,
10-28,0.2,0.0,0.3857142857,0.0428571429,1.0428571429,0.1714285714,0.0,0.0,0.0,0.9,0.0,0.9142857143,0.0,0.0,0.0571428571,0.0,0.5142857143,0.0,0.0,0.0,0.4142857143,0.0,0.0,0.0,0.5857142857,0.0,0.0,0.0,0.0,0.2125,0.45,0.0,0.575,0.0625,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.3875,0.1,0.0,0.0,0.1828571429,0.5628571429,0.0,0.0,0.0,1.0428571429,
10-29,0.18,0.2714285714,0.5714285714,0.0,1.1142857143,0.0571428571,0.0,0.0,0.0,0.9285714286,0.0,0.9857142857,0.0,0.0,0.0571428571,0.0,0.4285714286,0.0,0.0,0.0,0.4285714286,0.0,0.0,0.0,0.6142857143,0.0,0.0,0.0,0.0,0.2125,0.4375,0.0,0.3125,0.3125,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.3875,0.075,0.0,0.0,0.1975,0.5446428571,0.0,0.0,0.0,1.1142857143,
