,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10-11,0.0,0.19999999999999998,0.0,0.0,0.11666666666666665,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.07500000000000001,0.0,0.025
10-12,0.0,0.25,0.0,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049999999999999996,0.0,0.049999999999999996,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.07500000000000001,0.0,0.0
10-13,0.075,0.2333333333333333,0.0,0.049999999999999996,0.05000000000000001,0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.049999999999999996,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.028571428571428574,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1375,0.0,0.0,0.05,0.0,0.0
10-14,0.075,0.21666666666666667,0.0,0.08333333333333333,0.05000000000000001,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.049999999999999996,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.09999999999999999,0.0,0.0,0.0125,0.0,0.0
10-15,0.15,0.16666666666666666,0.0,0.08333333333333333,0.016666666666666666,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.075,0.0,0.0,0.0,0.0,0.0
10-16,0.175,0.16666666666666666,0.0,0.09999999999999999,0.08333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.15,0.0,0.0,0.03333333333333333,0.0,0.0,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0875,0.0125,0.0375,0.0,0.0,0.0,0.0,0.0
10-17,0.175,0.16666666666666666,0.0,0.09999999999999999,0.3833333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.11666666666666665,0.0,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0125,0.0,0.0,0.0,0.0,0.0
10-18,0.175,0.16666666666666666,0.0,0.09999999999999999,0.43333333333333335,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.28750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-19,0.175,0.15,0.0,0.09999999999999999,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.10000000000000002,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.10000000000000002,0.0,0.028571428571428574,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0
10-20,0.2,0.13333333333333333,0.0,0.016666666666666666,0.5333333333333333,0.18333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.10000000000000002,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.2333333333333333,0.0,0.028571428571428574,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.1375,0.225,0.0,0.1,0.0,0.0,0.0,0.0
10-21,0.2,0.049999999999999996,0.0,0.0,0.5333333333333333,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.10000000000000002,0.0,0.0,0.0,0.18333333333333335,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.21666666666666667,0.0,0.028571428571428574,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.125,0.3,0.0,0.0375,0.0,0.0,0.0,0.0
10-22,0.2,0.0,0.0,0.0,0.5666666666666668,0.6333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.18333333333333335,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.18333333333333335,0.0,0.028571428571428574,0.028571428571428574,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.05,0.375,0.0
10-23,0.2,0.0,0.0,0.0,0.5666666666666668,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.15,0.0,0.0,0.08333333333333333,0.0,0.028571428571428574,0.042857142857142864,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.4125,0.0
